model_name,optimizer_name,eps,alpha,success_ratio,avg_queries_success,std_queries_success,avg_l2_dist_success,std_l2_dist_success,avg_obj_value,std_obj_value
cifar10,de,0.01,1.0,0.0259740259740259,500.0,0.0,0.0068187818396836,4.845438525080681e-06,-0.18042991919951,0.2702669854610312
cifar10,gen,0.01,1.0,0.0259740259740259,500.0,0.0,0.0056654610671103,6.391294300556183e-05,-0.1011597475448212,0.2170748996820175
cifar10,gwo,0.01,1.0,0.0,0.0,0.0,0.0,0.0,-0.2320428802208467,0.3935459973088077
cifar10,info,0.01,1.0,0.0129870129870129,500.0,0.0,0.0055472366511821,0.0,0.1910935790920002,0.2349091562583894
cifar10,jade,0.01,1.0,0.0259740259740259,500.0,0.0,0.0061211832799017,0.0006396337412297,-0.1247167293127481,0.2820770967054433
cifar10,sade,0.01,1.0,0.0129870129870129,500.0,0.0,0.0056791827082633,0.0,-0.1401980784419295,0.2822026680837771
cifar10,shade,0.01,1.0,0.0259740259740259,500.0,0.0,0.0062863444909453,0.0002238536253571,-0.0600220324931206,0.2425394444157725
cifar10,de,0.01,10.0,0.0389610389610389,1833.3333333333333,1885.6180831641268,0.0070615125199158,0.0005251053830501,-3.766424575409332,0.2718241478698713
cifar10,gen,0.01,10.0,0.0519480519480519,1875.0,1634.5871038277526,0.0056528099812567,7.225238854108815e-05,-2.70908375065048,0.2387189434076399
cifar10,gwo,0.01,10.0,0.0519480519480519,6625.0,6580.036094125928,0.0076297767227515,0.0017746269463317,-5.239941618659279,0.5238006710231881
cifar10,info,0.01,10.0,0.0129870129870129,500.0,0.0,0.0056676371023058,0.0,0.1540796497063567,0.3725195028588982
cifar10,jade,0.01,10.0,0.0389610389610389,3833.3333333333335,4714.045207910317,0.0063811157209177,0.0002788620140517,-3.354551813819192,0.2724640706550716
cifar10,sade,0.01,10.0,0.0389610389610389,9000.0,12020.815280171308,0.0063971586835881,0.0003348952729824,-3.4320212649060533,0.2869130114574549
cifar10,shade,0.01,10.0,0.0519480519480519,53125.0,52947.35002811755,0.0060911944601684,0.0004342024307528,-2.423949563658083,0.2173299683521472
cifar10,de,0.01,100.0,0.0389610389610389,1166.6666666666667,942.8090415820634,0.0071545403140286,0.0005005343376392,-39.46757368607955,1.226317134502014
cifar10,gen,0.01,100.0,0.0259740259740259,500.0,0.0,0.005647832294926,0.0001101724337786,-28.92634951603877,0.4217610583079927
cifar10,gwo,0.01,100.0,0.0519480519480519,13625.0,18696.172736685978,0.0076263139490038,0.0018142512401353,-54.42340518901874,3.722975367774412
cifar10,info,0.01,100.0,0.0259740259740259,500.0,0.0,0.0055430296342819,8.210469968616962e-05,-0.6132649365545503,4.873371848590735
cifar10,jade,0.01,100.0,0.0389610389610389,6000.0,7778.174593052023,0.0062703454556564,0.000801378680756,-35.39750641661805,1.2565196113808508
cifar10,sade,0.01,100.0,0.0259740259740259,500.0,0.0,0.0064944548066705,2.2004125639796257e-05,-36.39906142593978,1.2280052208345242
cifar10,shade,0.01,100.0,0.0389610389610389,50000.0,68945.63075351476,0.0057094111107289,0.0004884025820011,-25.915001955899324,1.402174978691168
cifar10,de,0.1,1.0,0.4545454545454545,6071.428571428572,15106.357629035749,0.0700268762452261,0.0056540895940481,-3.4504643632219985,0.5970215657311541
cifar10,gen,0.1,1.0,0.8181818181818182,6539.68253968254,17208.87127887444,0.056489602500011,0.0020171417466312,-2.3815286778784417,0.2924949074752221
cifar10,gwo,0.1,1.0,0.6753246753246753,10182.692307692309,25422.966004063863,0.0699404786842373,0.0224506739354454,-3.8134967615078015,1.568893307714928
cifar10,info,0.1,1.0,0.2337662337662337,500.0,0.0,0.0550581612106826,0.0018690697572434,-0.3917696071884484,0.9291301039357448
cifar10,jade,0.1,1.0,0.5584415584415584,13627.906976744183,26090.20421699244,0.0627837747681972,0.0076811624650486,-2.993784690832163,0.6449255702971578
cifar10,sade,0.1,1.0,0.3506493506493506,1240.7407407407406,2278.605691151411,0.0613526895090385,0.0046313216906569,-3.1630226280782128,0.6178093664198169
cifar10,shade,0.1,1.0,0.5714285714285714,13409.09090909091,25380.574337847604,0.0559153370559215,0.0052950567666105,-2.320060531814377,0.3594386778708231
cifar10,de,0.1,10.0,0.5064935064935064,14910.25641025641,33189.98763816331,0.0707180964259,0.0055140444056609,-39.3470441644842,2.0923338421344666
cifar10,gen,0.1,10.0,0.5194805194805194,7575.0,13772.958106376422,0.0553720453754067,0.0023748748275382,-29.68354475343382,0.8370172984964969
cifar10,gwo,0.1,10.0,0.6363636363636364,6989.7959183673465,14785.020617240552,0.0736843212982829,0.0209678179996292,-46.23509659705224,11.74307281457505
cifar10,info,0.1,10.0,0.2597402597402597,500.0,0.0,0.0551305696368217,0.0019752751635491,-7.746778337345304,13.256360298494313
cifar10,jade,0.1,10.0,0.4545454545454545,11028.57142857143,21597.60001784023,0.0616882116666861,0.0089291327623562,-34.690037690199816,3.46137219021418
cifar10,sade,0.1,10.0,0.3636363636363636,5321.428571428572,13865.562611398507,0.0620194346244846,0.0058968795020714,-35.51212484186346,2.254307197557176
cifar10,shade,0.1,10.0,0.3636363636363636,5500.0,15563.235065830166,0.0588949739134737,0.0046270208249489,-28.11091036610789,3.646654581998899
cifar10,de,0.1,100.0,0.4805194805194805,8540.54054054054,17602.740257490615,0.070549647348958,0.0053228437116919,-397.6986928171926,18.750038109385518
cifar10,gen,0.1,100.0,0.3376623376623376,8634.615384615385,17060.163726955627,0.0556613044956555,0.0028881639431983,-298.30781733525265,12.833768990459037
cifar10,gwo,0.1,100.0,0.6363636363636364,8346.938775510203,20501.668444208422,0.0720367059111595,0.0216896000757582,-462.1068380776938,120.61990656928012
cifar10,info,0.1,100.0,0.2077922077922078,500.0,0.0,0.0549459427129477,0.0018515833054502,-64.43257795510102,126.05160512625396
cifar10,jade,0.1,100.0,0.4545454545454545,15885.714285714286,33433.961714376106,0.0614438758364745,0.0083853424076088,-352.8078565721388,32.94537514085421
cifar10,sade,0.1,100.0,0.3506493506493506,796.2962962962963,874.10546083007,0.0598396163571763,0.004889154451137,-353.72077406846086,19.645114665896514
cifar10,shade,0.1,100.0,0.3506493506493506,10129.62962962963,28907.128619909843,0.0578247208010267,0.0051190760035476,-281.4923715962992,37.10290350579097
cifar10,de,0.2,1.0,0.7272727272727273,3089.285714285714,13051.445986822257,0.1337054020592144,0.0095071976111897,-6.513467064151516,1.5361310587879216
cifar10,gen,0.2,1.0,0.8961038961038961,6057.971014492754,19901.30289083564,0.1104437155999999,0.0053767020886351,-5.067359035665339,0.9590730957543848
cifar10,gwo,0.2,1.0,0.7792207792207793,3816.6666666666665,8778.74643037882,0.1083707010994354,0.0373176718395779,-6.506641154165392,3.1438849789873635
cifar10,info,0.2,1.0,0.5194805194805194,500.0,0.0,0.107975398749113,0.005511285412027,-2.3418769114098,2.451886754538057
cifar10,jade,0.2,1.0,0.7402597402597403,2017.5438596491229,5786.376098504096,0.1153167666573273,0.0107796415152423,-5.629326702712418,1.2834516104117293
cifar10,sade,0.2,1.0,0.6883116883116883,2037.735849056604,7976.290962291305,0.1190157733717054,0.0095688119814156,-5.853960932075204,1.524606806114165
cifar10,shade,0.2,1.0,0.7662337662337663,8966.101694915254,25308.915895120208,0.1133106902746831,0.0103892571688823,-5.0641966856919325,0.991168048664206
cifar10,de,0.2,10.0,0.7142857142857143,763.6363636363636,1364.666277734881,0.1324665610085834,0.0084415759121095,-76.29022583404145,3.4979061464185968
cifar10,gen,0.2,10.0,0.7272727272727273,4705.357142857143,13531.96506217325,0.1092338237379278,0.0060186109448124,-60.6610273881392,2.1144381482138987
cifar10,gwo,0.2,10.0,0.7922077922077922,4967.213114754099,12632.857513428313,0.1129662125814156,0.0404475833631264,-74.15285903138,28.33264765364468
cifar10,info,0.2,10.0,0.5194805194805194,525.0,156.12494995995996,0.1081643380224704,0.0058536118611657,-31.52409066525868,30.42686696653904
cifar10,jade,0.2,10.0,0.7272727272727273,2946.428571428572,6440.440432080998,0.1178990369662642,0.0132075396197383,-67.84323575899198,6.266526891267861
cifar10,sade,0.2,10.0,0.6753246753246753,1644.2307692307693,6394.360900931457,0.1204473194308005,0.0090661499362637,-69.82542890078062,4.8360533379706405
cifar10,shade,0.2,10.0,0.7012987012987013,6000.0,19616.461341321363,0.1135828973794425,0.011051877023483,-60.320658894328325,7.511435312712692
cifar10,de,0.2,100.0,0.7402597402597403,1385.9649122807018,3662.299085992306,0.1336068088809649,0.0092990129268519,-778.6261691799411,35.79950610784936
cifar10,gen,0.2,100.0,0.6493506493506493,8390.0,22578.15094289167,0.1095454972982406,0.0062126646579819,-612.7074299601766,28.02886041652673
cifar10,gwo,0.2,100.0,0.7922077922077922,8311.475409836066,26405.439692687367,0.1119743886663288,0.0390846780379702,-743.104835807503,273.9765194469725
cifar10,info,0.2,100.0,0.5454545454545454,500.0,0.0,0.1087234092965012,0.0049265312497552,-339.8098974039697,310.30863291771
cifar10,jade,0.2,100.0,0.7402597402597403,3140.3508771929824,7028.609696294858,0.1160907178071507,0.0107652574931558,-682.2626057414266,52.65590285319652
cifar10,sade,0.2,100.0,0.6623376623376623,3186.274509803922,11307.624004649551,0.1222609570797751,0.0095594187880156,-712.5449139483563,41.02114416559124
cifar10,shade,0.2,100.0,0.7402597402597403,16271.929824561405,38800.781120668464,0.1130889037199187,0.0114372583027555,-616.3313903808594,76.04549161057372
