subdir,img_dir,num_pred_classes,avg_l2,std_l2,avg_l2_class_0,std_l2_class_0,avg_l2_class_1,std_l2_class_1,avg_l2_class_2,std_l2_class_2,avg_l2_class_3,std_l2_class_3,avg_l2_class_4,std_l2_class_4,avg_l2_class_5,std_l2_class_5,avg_l2_class_6,std_l2_class_6,avg_l2_class_7,std_l2_class_7,avg_l2_class_8,std_l2_class_8,avg_l2_class_9,std_l2_class_9
cifar10_stochastic_alpha_0.1_test_img_255-260_iters_500,img_256,2,0.02004006816074252,0.0025875075624525955,,,,,,,0.018641851842403412,0.002740997612591707,,,,,0.020113658493286685,0.0025580927900339403,,,,,,
cifar10_stochastic_alpha_0.1_test_img_255-260_iters_500,img_255,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_255-260_iters_500,img_257,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_255-260_iters_500,img_258,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_255-260_iters_500,img_259,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_200-205_iters_500,img_201,1,0.029349995777010918,0.0035177732279160706,0.029349995777010918,0.0035177732279160706,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_200-205_iters_500,img_204,1,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_200-205_iters_500,img_202,2,0.020274756960570812,0.016878803214657706,0.03439787564412603,0.0028897438998452337,,,,,,,,,,,,,,,0.004348686955710675,0.010870846491765934,,
cifar10_stochastic_alpha_0.1_test_img_200-205_iters_500,img_203,1,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,
cifar10_stochastic_alpha_0.1_test_img_200-205_iters_500,img_200,1,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_150-155_iters_500,img_151,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_150-155_iters_500,img_150,0,nan,nan,,,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_150-155_iters_500,img_153,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_150-155_iters_500,img_152,1,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,
cifar10_stochastic_alpha_0.1_test_img_150-155_iters_500,img_154,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_135-140_iters_500,img_135,1,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,
cifar10_stochastic_alpha_0.1_test_img_135-140_iters_500,img_137,1,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,
cifar10_stochastic_alpha_0.1_test_img_135-140_iters_500,img_138,3,0.03676164863631129,0.003617145868170988,,,,,0.039217920042574406,0.004222310221507299,,,0.03983406941680347,0.0022651168677651537,,,0.035803230976065,0.003267810283701092,,,,,,
cifar10_stochastic_alpha_0.1_test_img_135-140_iters_500,img_139,0,nan,nan,,,,,,,,,,,,,,,,,,,,
